=== CLOUD FORENSICS EVIDENCE REPORT — PRJN26-141 ===
Scan Time,2026-04-06 16:30:53
Total Files,15
Flagged Files,0
  NEW,0
  MODIFIED,0
  DELETED,0

Status,Filename,File Path,Extension,Size (Bytes),Created,Modified,Accessed,MD5,SHA256
UNCHANGED,access_log.log,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\access_log.log,.log,2887,2026-04-06 16:20:35,2026-04-06 16:20:35,2026-04-06 16:30:28,79630454534bd8691eb05685fea3eb5d,d43d422898fcc23286ba344f131de62eeb6c20ad9d13625903c94f01cc9ae97e
UNCHANGED,anomaly_report.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\anomaly_report.csv,.csv,1830,2026-04-06 16:20:53,2026-04-06 16:20:53,2026-04-06 16:30:28,0510a2a80974e42ff181faa892aafb07,3ddc67f23c586ed6d937a33aead4db7821af9e72a18ea7432bc5593fd39fbb57
UNCHANGED,api_config.cfg,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\api_config.cfg,.cfg,1686,2026-04-06 16:22:35,2026-04-06 16:22:35,2026-04-06 16:30:28,bdfe8651a6492130ca899dcd4934fc84,6e5ca2d5d3e6cc1fdf0f7d16ba63e532f00de81cc2489029eefdabd3e74a4ff3
UNCHANGED,billing_records_Q1_2026.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\billing_records_Q1_2026.csv,.csv,1898,2026-04-06 16:19:24,2026-04-06 16:19:24,2026-04-06 16:30:28,551225bfa144245c2b6a92c42178cd79,bdecff90e8bb78e6bfda81d72cbee406cec26ef314a4837424753b1f81531a8c
UNCHANGED,emergency_contacts.txt,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\emergency_contacts.txt,.txt,1848,2026-04-06 16:22:00,2026-04-06 16:22:00,2026-04-06 16:30:28,d267e9b15e973882ef28b384e212ffb9,ceca59c83134adb7dbcfa3ef87619319622e6e06a2999d30f535d89da8e41943
UNCHANGED,employee_access.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\employee_access.csv,.csv,1006,2026-04-06 16:21:34,2026-04-06 16:21:34,2026-04-06 16:30:28,fc079dd69ddcf9185c64c5afbd404084,4f171dc1ba7069d48f26fc222343803dfb695745a9c06e75e885d00260f33d6a
UNCHANGED,grid_config.ini,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\grid_config.ini,.ini,1810,2026-04-06 16:19:38,2026-04-06 16:19:38,2026-04-06 16:30:28,f2d3e3fc3a14e84c3e57f246a34b5c43,b57d53204c5e793c9bbb8ac8eeb5a59e963dc8b9ca672dfaa5f0ca80f5934147
UNCHANGED,maintenance_schedule.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\maintenance_schedule.csv,.csv,1597,2026-04-06 16:21:20,2026-04-06 16:21:20,2026-04-06 16:30:28,38642c0e69dab630d99f7d60eee719de,7a70dea836a9bd66473a99a6ef818d973b40a5f8685fab8b971d0a0a249625d1
UNCHANGED,meter_readings_feb2026.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\meter_readings_feb2026.csv,.csv,1113,2026-04-06 16:19:08,2026-04-06 16:19:08,2026-04-06 16:30:28,2d5f514031d3d76ee9c3fdad3bd357cf,fddff805a7ac901c72a950859333c9b9006a0c9482ff63e93ef746569728cab5
UNCHANGED,meter_readings_jan2026.csv,C:\Users\shamil\Desktop\collage PT with id\PRJN26-141\cloud-forensics-energy\sample_energy_data\meter_readings_jan2026.csv,.csv,1705,2026-04-06 16:18:59,2026-04-06 16:18:59,2026-04-06 16:30:28,f0675a18d7e08536fd97657f2b491919,f8ea51ca5d2e2bc95374df52ba25137833fdc979b93aa0ad58a9b9cf7f0f8079
